Serial,Type,Datetime,Data,Outlier_Flag
01749,monitor_info,,"{""serial_number"": ""01749"", ""label"": ""Noise 2"", ""location"": ""Bull Island"", ""latitude"": ""53.36866"", ""longitude"": ""-6.149316"", ""last_calibrated"": ""2023-03-13""}",No
01749,hourly_averages,2022-01-01 00:00:00,"{""datetime"": ""2022-01-01 00:00:00"", ""laeq"": 58.6}",No
01749,hourly_averages,2022-01-01 01:00:00,"{""datetime"": ""2022-01-01 01:00:00"", ""laeq"": 59.7}",No
01749,hourly_averages,2022-01-01 02:00:00,"{""datetime"": ""2022-01-01 02:00:00"", ""laeq"": 59.6}",No
01749,hourly_averages,2022-01-01 03:00:00,"{""datetime"": ""2022-01-01 03:00:00"", ""laeq"": 59.6}",No
01749,hourly_averages,2022-01-01 04:00:00,"{""datetime"": ""2022-01-01 04:00:00"", ""laeq"": 58.9}",No
01749,hourly_averages,2022-01-01 05:00:00,"{""datetime"": ""2022-01-01 05:00:00"", ""laeq"": 57.8}",No
01749,hourly_averages,2022-01-01 06:00:00,"{""datetime"": ""2022-01-01 06:00:00"", ""laeq"": 49.4}",No
01749,hourly_averages,2022-01-01 07:00:00,"{""datetime"": ""2022-01-01 07:00:00"", ""laeq"": 51.9}",No
01749,hourly_averages,2022-01-01 08:00:00,"{""datetime"": ""2022-01-01 08:00:00"", ""laeq"": 55.7}",No
01749,hourly_averages,2022-01-01 09:00:00,"{""datetime"": ""2022-01-01 09:00:00"", ""laeq"": 56}",No
01749,hourly_averages,2022-01-01 10:00:00,"{""datetime"": ""2022-01-01 10:00:00"", ""laeq"": 56}",No
01749,hourly_averages,2022-01-01 11:00:00,"{""datetime"": ""2022-01-01 11:00:00"", ""laeq"": 55.9}",No
01749,hourly_averages,2022-01-01 12:00:00,"{""datetime"": ""2022-01-01 12:00:00"", ""laeq"": 55.2}",No
01749,hourly_averages,2022-01-01 13:00:00,"{""datetime"": ""2022-01-01 13:00:00"", ""laeq"": 54.8}",No
01749,hourly_averages,2022-01-01 14:00:00,"{""datetime"": ""2022-01-01 14:00:00"", ""laeq"": 55}",No
01749,hourly_averages,2022-01-01 15:00:00,"{""datetime"": ""2022-01-01 15:00:00"", ""laeq"": 55.2}",No
01749,hourly_averages,2022-01-01 16:00:00,"{""datetime"": ""2022-01-01 16:00:00"", ""laeq"": 55.7}",No
01749,hourly_averages,2022-01-01 17:00:00,"{""datetime"": ""2022-01-01 17:00:00"", ""laeq"": 57.6}",No
01749,hourly_averages,2022-01-01 18:00:00,"{""datetime"": ""2022-01-01 18:00:00"", ""laeq"": 57.2}",No
01749,hourly_averages,2022-01-01 19:00:00,"{""datetime"": ""2022-01-01 19:00:00"", ""laeq"": 57.8}",No
01749,hourly_averages,2022-01-01 20:00:00,"{""datetime"": ""2022-01-01 20:00:00"", ""laeq"": 58}",No
01749,hourly_averages,2022-01-01 21:00:00,"{""datetime"": ""2022-01-01 21:00:00"", ""laeq"": 57.7}",No
01749,hourly_averages,2022-01-01 22:00:00,"{""datetime"": ""2022-01-01 22:00:00"", ""laeq"": 57.6}",No
01749,hourly_averages,2022-01-01 23:00:00,"{""datetime"": ""2022-01-01 23:00:00"", ""laeq"": 57.1}",No
01749,hourly_averages,2022-01-02 00:00:00,"{""datetime"": ""2022-01-02 00:00:00"", ""laeq"": 57}",No
01749,noise_averages,2022-01-01 00:00:00 - 23:59:00,"{""date"": ""2022-01-01"", ""start_time"": ""00:00:00"", ""end_time"": ""23:59:00"", ""laeq"": 57, ""limit_level"": 0, ""breach"": 0}",No
01749,noise_averages,2022-01-01 23:00:00 - 07:00:00,"{""date"": ""2022-01-01"", ""start_time"": ""23:00:00"", ""end_time"": ""07:00:00"", ""laeq"": 57.1, ""limit_level"": 0, ""breach"": 0}",No
01749,real_time_data,2022-01-01 00:05:00,"{""datetime"": ""2022-01-01 00:05:00"", ""laeq"": 59.63, ""lafmax"": 59.92, ""la10"": 59.74, ""la90"": 59.53, ""la95"": 59.51, ""lceq"": 66.6, ""lcfmax"": 66.84, ""lc10"": 66.71, ""lc90"": 66.51, ""lc95"": 66.5}",No
01749,real_time_data,2022-01-01 00:10:00,"{""datetime"": ""2022-01-01 00:10:00"", ""laeq"": 59.84, ""lafmax"": 60.09, ""la10"": 59.91, ""la90"": 59.73, ""la95"": 59.71, ""lceq"": 66.96, ""lcfmax"": 67.21, ""lc10"": 67.06, ""lc90"": 66.81, ""lc95"": 66.76}",No
01749,real_time_data,2022-01-01 00:15:00,"{""datetime"": ""2022-01-01 00:15:00"", ""laeq"": 59.86, ""lafmax"": 60.11, ""la10"": 59.92, ""la90"": 59.8, ""la95"": 59.77, ""lceq"": 66.98, ""lcfmax"": 67.19, ""lc10"": 67.05, ""lc90"": 66.91, ""lc95"": 66.9}",No
01749,real_time_data,2022-01-01 00:20:00,"{""datetime"": ""2022-01-01 00:20:00"", ""laeq"": 59.92, ""lafmax"": 60.2, ""la10"": 60.01, ""la90"": 59.77, ""la95"": 59.7, ""lceq"": 67.1, ""lcfmax"": 67.4, ""lc10"": 67.24, ""lc90"": 66.84, ""lc95"": 66.68}",No
01749,real_time_data,2022-01-01 00:25:00,"{""datetime"": ""2022-01-01 00:25:00"", ""laeq"": 59.81, ""lafmax"": 60.14, ""la10"": 59.94, ""la90"": 59.59, ""la95"": 59.51, ""lceq"": 67.06, ""lcfmax"": 67.38, ""lc10"": 67.24, ""lc90"": 66.69, ""lc95"": 66.48}",No
01749,real_time_data,2022-01-01 00:30:00,"{""datetime"": ""2022-01-01 00:30:00"", ""laeq"": 59.62, ""lafmax"": 59.97, ""la10"": 59.72, ""la90"": 59.44, ""la95"": 59.34, ""lceq"": 66.83, ""lcfmax"": 67.16, ""lc10"": 66.99, ""lc90"": 66.49, ""lc95"": 66.28}",No
